Age (ka),Alkane Depth (amcd),Alkanes (ng/g)
580.11,28.6,82.52
580.53,28.62,74.17
580.95,28.64,78.38
581.37,28.66,73.48
581.79,28.68,80.08
582.21,28.7,40.51
582.62,28.72,43.38
583.25,28.75,43.96
583.62,28.77,67.18
584,28.79,14.24
584.37,28.81,44.49
584.74,28.83,43.2
585.11,28.85,34.05
585.48,28.87,30.69
585.86,28.89,26.75
586.23,28.91,23.58
586.6,28.93,27.34
587.16,28.96,23.37
589.39,29.08,113.87
589.76,29.1,109.55
590.13,29.12,130.6
590.5,29.14,51.27
591.06,29.17,42.57
591.8,29.21,21.98
592.17,29.23,38.84
592.55,29.25,35.56
592.92,29.27,37.95
593.29,29.29,50.38
593.66,29.31,42.15
594.03,29.33,44.98
594.41,29.35,46.94
594.96,29.38,48.89
595.71,29.42,41.08
596.08,29.44,30.67
596.45,29.46,38.86
596.82,29.48,43.74
597.19,29.5,79.04
597.57,29.52,36.35
597.94,29.54,9.54
598.31,29.56,32.66
598.87,29.59,35.29
599.61,29.63,49.86
599.98,29.65,36.2
600.35,29.67,27.86
600.73,29.69,33.73
601.1,29.71,62.23
601.47,29.73,42.55
601.84,29.75,25.61
602.21,29.77,24.22
602.77,29.8,19.89
603.14,29.82,40.27
603.51,29.84,23.04
603.88,29.86,18.63
604.26,29.88,15.92
604.63,29.9,17.44
605.37,29.94,15.31
605.74,29.96,18.2
606.12,29.98,19.33
606.53,30,12.26
607.58,30.05,16.4
608,30.07,15.84
608.42,30.09,15.39
608.84,30.11,11.86
609.25,30.13,25.7
609.67,30.15,15.37
610.1,30.17,17.87
610.33,30.18,12.72
610.77,30.2,15.8
611.22,30.22,32.02
611.44,30.23,17.32
611.89,30.25,17.5
612.33,30.27,17.53
612.78,30.29,18.99
613,30.3,34.22
613.45,30.32,19.98
613.89,30.34,23.83
614.12,30.35,20.89
614.56,30.37,22.56
615.02,30.39,50.13
615.57,30.41,26.41
615.85,30.42,31.79
616.41,30.44,54.9
616.97,30.46,33.19
617.25,30.47,65.65
618.36,30.51,88.43
618.95,30.53,86.88
619.3,30.54,101.19
620,30.56,111.21
620.69,30.58,99.04
621.04,30.59,120.58
621.74,30.61,112.84
622.44,30.63,120.45
623.13,30.65,114.57
623.48,30.66,137.03
624.18,30.68,128.16
624.88,30.7,145.57
625.23,30.71,152.02
625.92,30.73,144.02
626.62,30.75,143.9
627.32,30.77,124.69
627.66,30.78,124.99
628.36,30.8,123.9
629.06,30.82,282.62
629.41,30.83,173.66
630.1,30.85,196.57
630.8,30.87,209.81
631.49,30.89,251.98
631.77,30.9,178.95
632.33,30.92,223.81
632.89,30.94,204.93
633.44,30.96,133.49
634,30.98,99.38
634.56,31,152.48
634.84,31.01,103.78
635.4,31.03,93.25
635.95,31.05,104.8
636.51,31.07,88.14
636.96,31.09,94.43
637.41,31.11,64.81
637.63,31.12,86.7
638.08,31.14,48.76
638.52,31.16,92.41
638.97,31.18,159.67
639.42,31.2,85.76
639.86,31.22,139.2
640.31,31.24,159.55
640.53,31.25,103.01
640.98,31.27,110.4
641.42,31.29,95.97
641.87,31.31,73.47
642.32,31.33,125.4
642.76,31.35,125.94
642.98,31.36,157.29
643.43,31.38,139.3
643.88,31.4,136.11
644.32,31.42,146.55
644.77,31.44,127.11
645.21,31.46,50.71
